Type,Name,Book,Page,Type,Date,StreetNum,Neighborhood,Town,Address,GoogleMapsURL,GooglePlaceID,Latitude,Longitude
GR,OPENDOOR PROPERTY J LLC,70754,339,DEED,10/31/2024,15 FENSMERE RD,WEST ROXBURY,BOSTON,"15 Fensmere Road, Boston, MA 02132-6011, USA",https://www.google.com/maps/search/?api=1&query=42.2600655%2C-71.1501095&zoom=18&query_place_id=ChIJd0T5jQN_44kRB_kqF-O_nCU,ChIJd0T5jQN_44kRB_kqF-O_nCU,42.2600655,-71.1501095
GT,ZILLOW HOME LOANS LLC,70417,277,MORTGAGE,7/23/2024,1 REGENT CIRCLE UNIT 3,JAMAICA PLAIN,BOSTON,"1 Regent Circle UNIT 3, Boston, MA 02130-4027, USA",https://www.google.com/maps/search/?api=1&query=42.3135424%2C-71.1168551&zoom=18&query_place_id=ChIJH8cwvm1544kRIhxq-t8qVqI,ChIJH8cwvm1544kRIhxq-t8qVqI,42.3135424,-71.1168551
GT,OPENDOOR PROPERTY J LLC,70342,327,DEED,6/28/2024,37 HALLIDAY ST,ROSLINDALE,BOSTON,"37 Halliday Street, Boston, MA 02131-2210, USA",https://www.google.com/maps/search/?api=1&query=42.2876049%2C-71.1130728&zoom=18&query_place_id=ChIJdx3e8Ex544kR9ruDpVJzvbI,ChIJdx3e8Ex544kR9ruDpVJzvbI,42.2876049,-71.1130728
GT,ZILLOW HOME LOANS LLC,70023,1,MORTGAGE,3/29/2024,24 BRADSHAW ST UNIT 3,DORCHESTER,BOSTON,"24 Bradshaw Street UNIT 3, Boston, MA 02121-4104, USA",https://www.google.com/maps/search/?api=1&query=42.2985419%2C-71.0825042&zoom=18&query_place_id=EjUyNCBCcmFkc2hhdyBTdHJlZXQgVU5JVCAzLCBCb3N0b24sIE1BIDAyMTIxLTQxMDQsIFVTQSIdGhsKFgoUChIJheQ-M-h744kRdsMuiqkNhc0SATM,EjUyNCBCcmFkc2hhdyBTdHJlZXQgVU5JVCAzLCBCb3N0b24sIE1BIDAyMTIxLTQxMDQsIFVTQSIdGhsKFgoUChIJheQ-M-h744kRdsMuiqkNhc0SATM,42.2985419,-71.0825042
GT,ZILLOW HOME LOANS LLC,69918,265,MORTGAGE,2/27/2024,80 BUNKER HILL ST UNIT 3,CHARLESTOWN,BOSTON,"80 Bunker Hill Street UNIT 3, Boston, MA 02129-3131, USA",https://www.google.com/maps/search/?api=1&query=42.3772293%2C-71.0578901&zoom=18&query_place_id=Ejg4MCBCdW5rZXIgSGlsbCBTdHJlZXQgVU5JVCAzLCBCb3N0b24sIE1BIDAyMTI5LTMxMzEsIFVTQSIdGhsKFgoUChIJ3RmuEvFw44kRlDoZF501awASATM,Ejg4MCBCdW5rZXIgSGlsbCBTdHJlZXQgVU5JVCAzLCBCb3N0b24sIE1BIDAyMTI5LTMxMzEsIFVTQSIdGhsKFgoUChIJ3RmuEvFw44kRlDoZF501awASATM,42.3772293,-71.0578901
GT,OPEN DOORS INVESTMENT GROUP LLC,69879,71,DEED,2/9/2024,41 OAK ISLAND ST,,REVERE,"41 Oak Island Street, Revere, MA 02151-4846, USA",https://www.google.com/maps/search/?api=1&query=42.4244327%2C-70.9847483&zoom=18&query_place_id=ChIJW0WP4-Vt44kRzU7l_6mbNVE,ChIJW0WP4-Vt44kRzU7l_6mbNVE,42.4244327,-70.9847483
GT,OPENDOOR PROPERTY J LLC,69773,256,DEED,1/2/2024,15 FENSMERE RD,WEST ROXBURY,BOSTON,"15 Fensmere Road, Boston, MA 02132-6011, USA",https://www.google.com/maps/search/?api=1&query=42.2600655%2C-71.1501095&zoom=18&query_place_id=ChIJd0T5jQN_44kRB_kqF-O_nCU,ChIJd0T5jQN_44kRB_kqF-O_nCU,42.2600655,-71.1501095
GT,ZILLOW HOME LOANS LLC,69772,107,MORTGAGE,12/29/2023,4 CLEMENT AVE,,BOSTON,"4 Clement Avenue, Boston, MA 02132-2044, USA",https://www.google.com/maps/search/?api=1&query=42.2838443%2C-71.1480382&zoom=18&query_place_id=ChIJ_ebW-Sh_44kRF5MpQOCkx9g,ChIJ_ebW-Sh_44kRF5MpQOCkx9g,42.2838443,-71.1480382
GR,OPENDOOR PROPERTY J LLC,69259,226,UNIT DEED,7/27/2023,40 CHESTERFIELD ST,,BOSTON,"40 Chesterfield Street, Boston, MA 02136-1901, USA",https://www.google.com/maps/search/?api=1&query=42.2411185%2C-71.135943&zoom=18&query_place_id=ChIJq64uM05-44kRcwaIwt5Xz9M,ChIJq64uM05-44kRcwaIwt5Xz9M,42.2411185,-71.135943
GT,OPENDOOR PROPERTY J LLC,68782,297,DEED,3/16/2023,40 CHESTERFIELD ST,HYDE PARK,BOSTON,"40 Chesterfield Street, Boston, MA 02136-1901, USA",https://www.google.com/maps/search/?api=1&query=42.2411185%2C-71.135943&zoom=18&query_place_id=ChIJq64uM05-44kRcwaIwt5Xz9M,ChIJq64uM05-44kRcwaIwt5Xz9M,42.2411185,-71.135943
